Date,Name,Year,Letterboxd URI
2025-08-01,The Shining,1980,https://boxd.it/29Nu
2025-08-01,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-08-01,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-08-01,Full Metal Jacket,1987,https://boxd.it/2a1Q
2025-08-01,The Empire Strikes Back,1980,https://boxd.it/27Vw
2025-08-01,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2025-08-01,Toy Story,1995,https://boxd.it/29qA
2025-08-01,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2025-08-01,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
