Date,Content,Comment
2020-05-01,,You're wrong
2021-04-25,,This is the entry for the show
2021-06-07,,"Not a review. 
Weird flex. but ok"
2022-02-24,,Thanks for the spoiler...
2022-04-07,,Ricky gets it
2022-09-29,,Great review. I came across this one a few months back after seeing some short form clips of the insane physics and over the top action. Can’t believe how much I enjoy this and wish more folks would take me up on the recommendation.
