Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-04-14,Swiss Army Man,2016,https://boxd.it/GJIcj,,Yes,,2019-04-13
2019-05-14,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/I9Uz1,,Yes,,2019-05-13
2019-05-23,Game Night,2018,https://boxd.it/IAe2X,,Yes,,2019-05-22
2020-02-02,The American Civil War - OverSimplified,2020,,,,youtube,2020-02-01
2020-02-03,The Cold War - OverSimplified,2019,,,,,2020-02-02
2020-02-04,WW2 - OverSimplified,2018,,,,,2020-02-02
2020-03-27,American Made,2017,https://boxd.it/131CKt,3.5,,,2020-03-26
2022-09-22,Fletch,1985,https://boxd.it/3fvlgl,3,,,2022-09-21
2023-10-06,"nothing, except everything.",2023,https://boxd.it/4WVCJ7,4.5,,,2023-10-05
