Date,Content,Comment
2019-12-15,https://boxd.it/TPfez,Please mark the review for spoilers. Dammit ☹️
2020-12-28,https://boxd.it/1xuwWB,"8 year old playing with friends: you can’t see me because I also have invisibility powers!
The rest of the kids: no you don’t. You can’t just invent new powers!

WW84: hold my beer"
