Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-02-20,Terminator: Dark Fate,2019,https://boxd.it/ZVnRP,3,,"The true first true sequel to T2.
Went into this with the expectation to see a dumpster fire but actually enjoyed it. Connected well, and it was nice to see familiar characters again.",,2020-02-19
2020-02-21,A Beautiful Day in the Neighborhood,2019,https://boxd.it/1002qX,3.5,Yes,"""Anything mentionable is manageable""",,2020-02-20
2020-02-25,Bad Boys for Life,2020,https://boxd.it/10lGkn,3,,Bring on the next generation!,,2020-02-24
2020-02-26,Pain & Gain,2013,https://boxd.it/10pOSl,3.5,,"One of Michael Bay's best.
The on screen ""THIS IS STILL A TRUE STORY"" to remind you that the insanity on screen actually happened are brilliantly timed.",,
2020-02-28,Pokémon the Movie: Mewtwo Strikes Back - Evolution,2019,https://boxd.it/10xxTd,1,,"The pacing has been slowed down from the original to show off the new visual effects so much in fact that the movie doesn't flow well to the point that it's boring.

Comparing the original to the remake, you notice the remake lacks the heart of the original within the first 60 seconds.

Plus, reorganizing the order of scenes andd the poorly rewritten dialogue leaves plotholes everywhere. How did Giovanni know to come to the island? Skip this and watch the original.",,2020-02-27
2020-03-08,Stuart Little,1999,https://boxd.it/11gEMj,2.5,Yes,Doesn't hold up as much as I'd hoped but it's still sweet. The Littles rub me the wrong way.,,2020-03-07
2020-03-18,Be Kind Rewind,2008,https://boxd.it/123I4t,3.5,Yes,Hidden gem that I cherish.,,2020-03-17
2020-03-19,Rise of the Planet of the Apes,2011,https://boxd.it/129Z3f,3,Yes,I'm human and this is how I choose to cope with what's happening in the world 🤷🏻‍♂️,,2020-03-18
2020-03-26,WALL·E,2008,https://boxd.it/12RQBP,3.5,Yes,"I enjoyed it as a kid, and I still enjoy it a whole lot – maybe more than ever. The pure joy and emotion in this movie resonates despite the lack of dialog and somehow keeps my focus for its length.
It lives in my head rent-free and think about it a lot of times I'm separating my trash and recycling.

Upping the rating on this one and I may again in the future.",,2020-03-24
2020-03-27,Logan,2017,https://boxd.it/132EDh,3,,Wow they made a good X-Men movie!,,2020-03-26
2020-04-02,Live Free or Die Hard,2007,https://boxd.it/13HY57,3.5,Yes,"A movie that was released during the time when studios tried to neuter most if not all R rated movies to allow younger audiences to see the movie to drive up ticket sales. Hell, they even cut McClain's iconic catchphrase and covered it with a gun shot sound effect the one time it was said. The unrated cut of this movie undoes these changes and it makes for a pretty good action movie along with all the things you'd expect from a Die Hard movie.",,2020-04-01
2020-04-16,Interstellar,2014,https://boxd.it/15uD8V,5,Yes,"I wont ever forget standing in line to see this in IMAX opening night. Standing there in anticipation with my ticket in hand as I see a group of silent movie goers coming out of the theater from the showing that had just ended with blank looks – some with sheer confusion on their face; some with slight smiles and others with teary red eyes . Among them were my parents. I waved at them cheerfully and my mom tried to put into words the experience she had just had but couldn't quite find the words. My dad interrupted her and said ""Just let them watch it."" ""okay, okay. It was really good."" That it was. The pure emotion this movie brings out is profound and while usually a 'movie high' wears off within a few days after seeing it for the first time at the cinema, it never quite wore off for this one. It's still my favorite movie to this day.",,2020-04-15
2020-04-16,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/15wZRx,4,Yes,"Don't worry, I watched the ""Philosopher's Stone"" version.",,2020-04-15
2020-04-20,Argo,2012,https://boxd.it/16363j,4.5,Yes,I rewatch this one once a year. A space fantasy film saving innocent lives. Incredible story.,,2020-04-19
2020-04-21,Dolittle,2020,https://boxd.it/16aOuR,2,,The most fun about this movie was trying to guess who all the voice actors were of each animal.,,2020-04-20
2020-04-23,Iron Man,2008,https://boxd.it/16n7Hz,5,Yes,"This is still my favorite Marvel movie. Rooted in reality, great effects, incredible cast and ""script"". It's great. 







(Script is in quotes since most of it was improvised as they went, which is just so incredibly cool)",,2020-04-22
2020-04-24,Middleditch & Schwartz,2020,https://boxd.it/16tgyX,4.5,,"Loved these two back on Jake and Amir, and I gotta say they are as funny and brilliant as ever. ",,2020-04-23
2020-04-25,Silver Linings Playbook,2012,https://boxd.it/16B9CJ,4.5,Yes,I don't know what it is about this film but it keeps me coming back.,,2020-04-24
2020-04-26,The IT Crowd: The Internet Is Coming,2013,https://boxd.it/16Lyy3,4,Yes,"Why can't all TV Show reunions be this good? Exactly like another episode of the show, just years after it ended. Truly special.",,2020-04-25
