Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-06-11,A Trip to the Moon,1902,https://boxd.it/JwHlv,,,,2019-06-10
2019-06-12,Won't You Be My Neighbor?,2018,https://boxd.it/JAj31,4.5,,,2019-06-11
2019-06-15,Daft Punk Unchained,2015,https://boxd.it/JITiR,4,,,2019-06-14
2019-06-16,Saving Private Ryan,1998,https://boxd.it/JM9lX,5,Yes,,2019-06-15
2019-06-17,My Dog Skip,2000,https://boxd.it/JPMsf,4.5,Yes,,2019-06-16
2019-06-18,BlacKkKlansman,2018,https://boxd.it/JSuLJ,4,,,2019-06-17
2019-06-20,The Empire Strikes Back,1980,https://boxd.it/JXKRD,5,Yes,,2019-06-19
2019-06-21,Rogue One: A Star Wars Story,2016,https://boxd.it/K0Eu5,5,Yes,,2019-06-20
2019-06-22,Jo Koy: Comin' in Hot,2019,https://boxd.it/K3T8J,,,,2019-06-22
2019-06-24,The Edge of Seventeen,2016,https://boxd.it/Katw5,4,Yes,,2019-06-23
2019-06-27,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/Kj40V,4.5,Yes,,2019-06-26
2019-06-28,Interstellar,2014,https://boxd.it/KlND3,5,Yes,,2019-06-27
2019-06-29,Toy Story 4,2019,https://boxd.it/Kp6bN,3.5,,,2019-06-29
2019-07-06,Kick-Ass,2010,https://boxd.it/KKMVZ,3.5,Yes,,2019-07-05
2019-09-17,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/OyREV,,Yes,,2019-07-06
2019-07-07,The Mule,2018,https://boxd.it/KP27T,3.5,,,2019-07-07
2019-07-10,The Lego Movie 2: The Second Part,2019,https://boxd.it/KXFL5,3.5,,,2019-07-09
2019-07-10,Edge of Tomorrow,2014,https://boxd.it/KY1iT,4,Yes,,2019-07-09
2019-07-10,Big Daddy,1999,https://boxd.it/KYijf,4,Yes,,2019-07-09
2019-07-12,The World's End,2013,https://boxd.it/L3YHD,4,Yes,,2019-07-11
2019-07-12,Yesterday,2019,https://boxd.it/L4E5r,4,,,2019-07-11
2019-07-13,Aziz Ansari: Right Now,2019,https://boxd.it/L7CSd,4,,,2019-07-13
2019-07-14,Spider-Man: Far From Home,2019,https://boxd.it/L9p9N,4.5,,,2019-07-13
2019-07-14,Us,2019,https://boxd.it/LaOFB,3,,,2019-07-14
2019-07-16,Logan Lucky,2017,https://boxd.it/LhoOh,4.5,Yes,,2019-07-15
2019-07-17,Masterminds,2016,https://boxd.it/LkLMf,2.5,Yes,,2019-07-16
2019-07-17,"Frankenstein's Monster's Monster, Frankenstein",2019,https://boxd.it/LkLOb,1.5,,,2019-07-16
2019-07-19,Top Gun,1986,https://boxd.it/LqxpN,4,Yes,,2019-07-18
2019-07-20,The Lion King,2019,https://boxd.it/LtIWp,4,,,2019-07-19
2019-07-21,Star Trek,2009,https://boxd.it/LvqQR,5,Yes,,2019-07-20
2019-07-21,Star Trek Into Darkness,2013,https://boxd.it/LxbbX,5,Yes,,2019-07-21
2019-07-22,Mission: Impossible – Fallout,2018,https://boxd.it/LyZNJ,4.5,Yes,,2019-07-21
2019-07-22,The Right Stuff,1983,https://boxd.it/LAjfT,4,Yes,,2019-07-21
2019-07-22,First Man,2018,https://boxd.it/LAN9h,3.5,Yes,,2019-07-21
2019-07-24,Raiders of the Lost Ark,1981,https://boxd.it/LGPKV,4.5,Yes,,2019-07-23
2019-07-27,Once Upon a Time... in Hollywood,2019,https://boxd.it/LQdzv,5,,,2019-07-26
2019-07-28,Inglourious Basterds,2009,https://boxd.it/LTHpB,5,Yes,,2019-07-27
2019-07-28,Once Upon a Time... in Hollywood,2019,https://boxd.it/LTHu7,5,Yes,,2019-07-27
2019-07-29,Pulp Fiction,1994,https://boxd.it/LXDjH,4,Yes,,2019-07-28
2019-08-05,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/MkNKz,2.5,,,2019-08-04
2019-08-07,Billy Madison,1995,https://boxd.it/MqsPF,3.5,Yes,,2019-08-06
2019-08-09,The Fast and the Furious,2001,https://boxd.it/MvuUR,3,Yes,,2019-08-08
2019-08-09,Pokémon the Movie: I Choose You!,2017,https://boxd.it/MwryF,,Yes,,2019-08-08
2019-08-11,Batman Begins,2005,https://boxd.it/MCWdb,5,Yes,,2019-08-10
2019-08-12,2 Fast 2 Furious,2003,https://boxd.it/MF9ZB,1.5,Yes,,2019-08-11
2019-08-12,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/MFDGT,2,,,2019-08-11
2019-08-15,The Dark Knight,2008,https://boxd.it/MQFGN,5,Yes,,2019-08-14
2019-08-17,Superbad,2007,https://boxd.it/MXmLN,3.5,Yes,,2019-08-16
2019-08-17,The Dark Knight Rises,2012,https://boxd.it/MXwdB,5,Yes,,2019-08-16
2019-08-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/N29JT,5,Yes,,2019-08-17
2019-08-20,Captain Phillips,2013,https://boxd.it/N8cLP,3.5,Yes,,2019-08-19
2019-08-21,Hot Fuzz,2007,https://boxd.it/NaVwz,5,Yes,,2019-08-20
2019-08-29,Dunkirk,2017,https://boxd.it/NBwwD,5,Yes,,2019-08-29
2019-09-07,Dave Chappelle: Sticks & Stones,2019,https://boxd.it/O2FwL,4,,,2019-09-06
2019-09-07,Dave Chappelle: Sticks & Stones,2019,https://boxd.it/O2Fyd,4,,,2019-09-06
2019-09-07,Limitless,2011,https://boxd.it/O4jHr,3,Yes,,2019-09-06
2019-09-08,Gran Torino,2008,https://boxd.it/O5AK5,4.5,Yes,,2019-09-07
2019-09-14,Kill Bill: Vol. 1,2003,https://boxd.it/Oqvjl,5,,,2019-09-13
2019-09-14,Kill Bill: Vol. 2,2004,https://boxd.it/OqTI5,4,,,2019-09-13
2019-09-15,Kill Bill: Vol. 1,2003,https://boxd.it/OsLWx,5,Yes,,2019-09-14
2019-09-15,The Martian,2015,https://boxd.it/OufK9,5,Yes,,2019-09-14
2019-09-16,Kill Bill: The Whole Bloody Affair,2006,https://boxd.it/OybNB,5,,,2019-09-15
2019-09-17,Django Unchained,2012,https://boxd.it/OAUNl,4.5,,,2019-09-16
2019-09-18,Jackie Brown,1997,https://boxd.it/OCPNp,3.5,,,2019-09-17
2019-09-18,Django Unchained,2012,https://boxd.it/ODpMR,4.5,Yes,,2019-09-17
2019-09-23,Between Two Ferns: The Movie,2019,https://boxd.it/OSX2j,1,,,2019-09-22
2019-09-24,A Quiet Place,2018,https://boxd.it/OVrRb,4,Yes,,2019-09-23
2019-09-24,Inglourious Basterds,2009,https://boxd.it/OWljf,5,Yes,,2019-09-23
2019-09-24,True Grit,2010,https://boxd.it/OX9ef,4.5,,,2019-09-23
2019-09-24,The 24 Hour War,2016,https://boxd.it/OXmHp,,,,2019-09-23
2019-09-26,See Spot Run,2001,https://boxd.it/P2Lnf,2.5,Yes,,2019-09-25
2019-10-04,"Papers, Please - The Short Film",2018,https://boxd.it/Ps13v,4,Yes,,2019-10-03
2019-10-05,Joker,2019,https://boxd.it/PvVmp,2,,,2019-10-04
2019-10-06,What If,2013,https://boxd.it/PAOmx,3,,,2019-10-06
2019-10-07,The Brady Bunch Movie,1995,https://boxd.it/PDzd7,3,Yes,,2019-10-06
2019-10-09,The IT Crowd: The Internet Is Coming,2013,https://boxd.it/PMkcB,4,Yes,,2019-10-08
2019-10-12,North Korean Labor Camps,2011,https://boxd.it/PUNEv,4.5,Yes,,2019-10-11
2019-10-12,El Camino: A Breaking Bad Movie,2019,https://boxd.it/PWGEd,3,,,2019-10-11
