Date,Name,Year,Letterboxd URI,Rating
2019-11-07,Step Brothers,2008,https://boxd.it/1SsE,4
2019-11-14,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3.5
2019-11-21,The Interview,2014,https://boxd.it/6KQ4,4
2019-12-03,The Irishman,2019,https://boxd.it/dYOq,4.5
2019-12-07,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,4
2019-12-08,The Princess Bride,1987,https://boxd.it/26EY,4
2019-12-08,Quantum of Solace,2008,https://boxd.it/1Vs8,4.5
2019-12-14,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2019-12-14,Return of the Jedi,1983,https://boxd.it/27Vm,5
2019-12-24,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,4
2019-12-28,Sunshine,2007,https://boxd.it/28Xy,4
2020-01-02,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,3.5
2020-01-07,Amélie,2001,https://boxd.it/2aUc,5
2020-01-07,Drive,2011,https://boxd.it/IG,2
2020-01-15,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,4.5
2020-01-15,Ad Astra,2019,https://boxd.it/ePzI,3
2020-01-15,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,4
2020-01-15,Between Two Ferns: The Movie,2019,https://boxd.it/lw9g,1
2020-01-15,Marriage Story,2019,https://boxd.it/hJAw,4
2020-01-15,Catch Me If You Can,2002,https://boxd.it/29VS,4
2020-01-15,1917,2019,https://boxd.it/jj4y,4.5
2020-01-17,The Matrix,1999,https://boxd.it/2a1m,5
2020-01-20,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2020-01-21,Passengers,2016,https://boxd.it/8lFu,3.5
2020-01-22,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2020-01-22,Knives Out,2019,https://boxd.it/jWEA,4
2020-01-23,Bad Boys,1995,https://boxd.it/1XVG,3
2020-01-24,Bad Boys II,2003,https://boxd.it/1ZuW,4
2020-01-30,The Red Balloon,1956,https://boxd.it/1Mxo,4.5
2020-02-01,Parasite,2019,https://boxd.it/hTha,5
2020-02-02,Shrek,2001,https://boxd.it/29zi,3.5
2020-02-07,Straight Outta Compton,2015,https://boxd.it/8rMc,4.5
2020-02-08,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,4
2020-02-08,Sleeping with Other People,2015,https://boxd.it/8WPm,4
2020-02-09,Walk the Line,2005,https://boxd.it/2bdS,3.5
2020-02-15,About Time,2013,https://boxd.it/43bI,4.5
2020-02-16,Sonic the Hedgehog,2020,https://boxd.it/gdK8,4
2020-02-16,Cheer,2020,https://boxd.it/oWQc,3.5
2020-02-17,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,3
2020-02-17,Holes,2003,https://boxd.it/20mE,3.5
2020-02-19,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4.5
2020-02-21,Terminator: Dark Fate,2019,https://boxd.it/96YI,3
2020-02-22,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,3.5
2020-02-23,Batman Begins,2005,https://boxd.it/2aIg,4.5
2020-02-25,Bad Boys for Life,2020,https://boxd.it/15pc,3
2020-02-28,Pokémon the Movie: Mewtwo Strikes Back - Evolution,2019,https://boxd.it/kZu6,1
2020-02-28,Pokémon: The First Movie,1998,https://boxd.it/1WLA,3.5
2020-03-01,McMillion$,2020,https://boxd.it/oWvI,4
2020-03-01,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4
2020-03-01,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
2020-03-03,Midway,2019,https://boxd.it/iX4w,3.5
2020-03-07,"I Love You, Now Die: The Commonwealth v. Michelle Carter",2019,https://boxd.it/mNLy,3.5
2020-03-08,Stuart Little,1999,https://boxd.it/1WZW,2.5
2020-03-14,Hall Pass,2011,https://boxd.it/H8G,3
2020-03-16,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2020-03-17,Big,1988,https://boxd.it/271S,4
2020-03-17,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,4.5
2020-03-18,Be Kind Rewind,2008,https://boxd.it/23Au,3.5
2020-03-21,School of Rock,2003,https://boxd.it/28xK,4
2020-03-22,Kicking & Screaming,2005,https://boxd.it/1XnE,3.5
2020-03-26,Tiger King,2020,https://boxd.it/pzj2,4
2020-03-27,The Shining,1980,https://boxd.it/29Nu,4.5
2020-03-27,American Made,2017,https://boxd.it/bb66,3.5
2020-03-27,Logan,2017,https://boxd.it/7Piy,3
2020-03-28,The Revenant,2015,https://boxd.it/8H5e,4
2020-03-29,The Muppets,2011,https://boxd.it/1zg,3
2020-03-31,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2020-03-31,Pain & Gain,2013,https://boxd.it/4lp4,3.5
2020-03-31,Flags of Our Fathers,2006,https://boxd.it/255y,3.5
2020-03-31,The Invisible Man,2020,https://boxd.it/kWlA,3
2020-04-01,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,4
2020-04-01,Jumanji: The Next Level,2019,https://boxd.it/ixu4,3.5
2020-04-01,Apocalypse Now,1979,https://boxd.it/6ZS,4.5
2020-04-02,Live Free or Die Hard,2007,https://boxd.it/28zQ,3.5
2020-04-03,300,2006,https://boxd.it/28XI,3.5
2020-04-08,Death Proof,2007,https://boxd.it/27GG,3
2020-04-08,The Island,2005,https://boxd.it/28qE,3.5
2020-04-09,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2020-04-09,Room 237,2012,https://boxd.it/2Y46,0.5
2020-04-09,Paul,2011,https://boxd.it/13uE,2
2020-04-09,The Hurt Locker,2008,https://boxd.it/1Soi,4.5
2020-04-10,Reservoir Dogs,1992,https://boxd.it/2agc,4
2020-04-13,Venom,2018,https://boxd.it/b8wA,3
2020-04-14,Spenser Confidential,2020,https://boxd.it/log4,2.5
