Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-04-18,The Perfect Date,2019,https://boxd.it/GTkid,5,,Should've been called The Perfect Film,,
2024-01-21,The Lord of the Rings: The Two Towers,2002,https://boxd.it/5DXwtt,5,Yes,"In a story of restoring kingdoms and defeating the evil, the most powerful message is about preserving innocence, meekness, and beauty.","date night, alamo",2024-01-20
